String_Type,L_value,Irreducible_Count,LZ77_z,Theoretical_Max_Bound
DNA,1,1,16,1052.7152913275604
Worst-Case,1,7,327,21514.868766507014
DNA,2,2,16,1052.7152913275604
Worst-Case,2,110,327,21514.868766507014
DNA,3,2,16,1052.7152913275604
Worst-Case,3,220,327,21514.868766507014
DNA,4,1,16,1052.7152913275604
Worst-Case,4,394,327,21514.868766507014
DNA,5,0,16,1052.7152913275604
Worst-Case,5,1059,327,21514.868766507014
DNA,6,0,16,1052.7152913275604
Worst-Case,6,972,327,21514.868766507014
DNA,7,0,16,1052.7152913275604
Worst-Case,7,919,327,21514.868766507014
DNA,8,0,16,1052.7152913275604
Worst-Case,8,717,327,21514.868766507014
DNA,9,0,16,1052.7152913275604
Worst-Case,9,0,327,21514.868766507014
DNA,10,0,16,1052.7152913275604
Worst-Case,10,0,327,21514.868766507014
DNA,11,0,16,1052.7152913275604
Worst-Case,11,0,327,21514.868766507014
DNA,12,0,16,1052.7152913275604
Worst-Case,12,0,327,21514.868766507014
DNA,13,0,16,1052.7152913275604
Worst-Case,13,0,327,21514.868766507014
DNA,14,0,16,1052.7152913275604
Worst-Case,14,0,327,21514.868766507014
DNA,15,0,16,1052.7152913275604
Worst-Case,15,0,327,21514.868766507014
DNA,16,0,16,1052.7152913275604
Worst-Case,16,0,327,21514.868766507014
DNA,17,0,16,1052.7152913275604
Worst-Case,17,0,327,21514.868766507014
DNA,18,0,16,1052.7152913275604
Worst-Case,18,0,327,21514.868766507014
DNA,19,0,16,1052.7152913275604
Worst-Case,19,0,327,21514.868766507014
DNA,20,0,16,1052.7152913275604
Worst-Case,20,0,327,21514.868766507014
DNA,21,0,16,1052.7152913275604
Worst-Case,21,0,327,21514.868766507014
DNA,22,0,16,1052.7152913275604
Worst-Case,22,0,327,21514.868766507014
DNA,23,0,16,1052.7152913275604
Worst-Case,23,0,327,21514.868766507014
DNA,24,0,16,1052.7152913275604
Worst-Case,24,0,327,21514.868766507014
DNA,25,0,16,1052.7152913275604
Worst-Case,25,0,327,21514.868766507014
DNA,26,0,16,1052.7152913275604
Worst-Case,26,0,327,21514.868766507014
DNA,27,0,16,1052.7152913275604
Worst-Case,27,0,327,21514.868766507014
DNA,28,0,16,1052.7152913275604
Worst-Case,28,0,327,21514.868766507014
DNA,29,0,16,1052.7152913275604
Worst-Case,29,0,327,21514.868766507014
DNA,30,0,16,1052.7152913275604
Worst-Case,30,0,327,21514.868766507014
DNA,31,0,16,1052.7152913275604
Worst-Case,31,0,327,21514.868766507014
DNA,32,0,16,1052.7152913275604
Worst-Case,32,0,327,21514.868766507014
DNA,33,0,16,1052.7152913275604
Worst-Case,33,0,327,21514.868766507014
DNA,34,0,16,1052.7152913275604
Worst-Case,34,0,327,21514.868766507014
DNA,35,0,16,1052.7152913275604
Worst-Case,35,0,327,21514.868766507014
DNA,36,0,16,1052.7152913275604
Worst-Case,36,0,327,21514.868766507014
DNA,37,0,16,1052.7152913275604
Worst-Case,37,0,327,21514.868766507014
DNA,38,0,16,1052.7152913275604
Worst-Case,38,0,327,21514.868766507014
DNA,39,0,16,1052.7152913275604
Worst-Case,39,0,327,21514.868766507014
DNA,40,0,16,1052.7152913275604
Worst-Case,40,0,327,21514.868766507014
DNA,41,0,16,1052.7152913275604
Worst-Case,41,0,327,21514.868766507014
DNA,42,0,16,1052.7152913275604
Worst-Case,42,0,327,21514.868766507014
DNA,43,0,16,1052.7152913275604
Worst-Case,43,0,327,21514.868766507014
DNA,44,0,16,1052.7152913275604
