String_Type,L_value,Bucket_Range,Irreducible_Count,LZ77_z,Theoretical_Max_Bound
DNA,1,"[1, 2)",1,16,1052.7152913275604
Worst-Case,1,"[1, 2)",7,327,21514.868766507014
DNA,2,"[2, 4)",2,16,1052.7152913275604
Worst-Case,2,"[2, 4)",110,327,21514.868766507014
DNA,4,"[4, 8)",1,16,1052.7152913275604
Worst-Case,4,"[4, 8)",394,327,21514.868766507014
DNA,8,"[8, 16)",0,16,1052.7152913275604
Worst-Case,8,"[8, 16)",717,327,21514.868766507014
DNA,16,"[16, 32)",0,16,1052.7152913275604
Worst-Case,16,"[16, 32)",0,327,21514.868766507014
DNA,32,"[32, 64)",0,16,1052.7152913275604
Worst-Case,32,"[32, 64)",0,327,21514.868766507014
DNA,64,"[64, 128)",0,16,1052.7152913275604
Worst-Case,64,"[64, 128)",0,327,21514.868766507014
DNA,128,"[128, 256)",0,16,1052.7152913275604
Worst-Case,128,"[128, 256)",0,327,21514.868766507014
DNA,256,"[256, 512)",0,16,1052.7152913275604
Worst-Case,256,"[256, 512)",0,327,21514.868766507014
DNA,512,"[512, 1024)",0,16,1052.7152913275604
Worst-Case,512,"[512, 1024)",0,327,21514.868766507014
