String_Length,Start_Index,r_forward,r_reverse
794,54643499,365,375
2399,43722327,929,899
2230,817461,1323,1316
2963,2071183,2001,2006
594,9511157,438,426
3460,30427396,1226,1234
3280,33080733,1495,1506
1704,59194973,964,963
2077,16534480,1531,1516
1529,44082160,622,632
3990,37780560,1376,1383
161,42491903,75,67
554,23777504,409,397
2730,51464561,1406,1404
3978,52457465,1409,1385
786,34505265,336,340
564,10486817,402,392
3604,55027548,1344,1348
3518,49788730,1516,1508
3605,17625003,2506,2488
2771,16903989,2004,1987
3225,32131725,1253,1262
403,55468698,171,169
3424,59860850,1472,1504
2130,57697285,817,801
576,44050155,238,229
1615,14590165,1111,1106
3810,18184421,2640,2624
1848,30082548,746,730
2767,53359500,1053,1051
3508,57331762,1378,1410
3167,6757701,2263,2262
1067,36118846,539,536
3784,49374138,1506,1490
2643,1877478,1543,1537
1896,57390048,1170,1165
3092,46510942,1432,1423
199,46372467,98,92
380,58703702,159,164
1584,42092891,620,620
3731,35847315,1348,1353
3282,62068747,970,969
3582,23529502,2478,2464
596,6478443,399,414
3447,52692886,1321,1326
1006,2268236,666,682
1627,17040883,1019,1054
1802,18052854,1258,1272
2311,1372318,818,791
2135,21899247,1486,1476
2435,38531606,924,923
1563,157166,122,125
2895,41023371,1417,1415
320,47403853,141,136
350,41441394,253,259
3942,54730067,1550,1560
821,10229430,574,588
3154,9715454,2281,2246
1390,5229690,1003,993
610,2781087,452,443
1459,6993875,1077,1076
3552,27453609,1167,1117
2098,1122644,1233,1247
626,15579273,429,447
1774,3543491,1237,1253
1185,33670976,460,466
2559,51987901,988,1011
2206,30770434,854,846
1552,20852850,1102,1099
2508,30253471,979,977
3032,22176650,2050,2039
441,60483822,310,331
647,3732910,463,457
3338,61379693,1311,1313
146,34412995,77,76
25,58009816,22,24
114,60897484,49,48
1323,24809693,916,936
809,31833494,316,323
3466,10813948,1356,1358
3905,40969623,1419,1434
3289,36531025,1456,1468
2293,13299298,1592,1612
543,8552896,397,406
213,43986489,97,90
2806,33357438,1453,1445
2744,6916889,1794,1784
1950,48405021,776,788
1232,18440504,829,823
1675,55796332,620,627
1537,53032969,844,841
1076,21789900,770,751
331,4234457,237,235
3886,22905701,2720,2714
3702,38016850,1346,1338
972,12672828,643,648
3784,36596042,1810,1829
1666,44720631,1004,1004
1631,51417932,1028,1041
3675,33261618,1354,1351
394,6380055,279,266
3446,6020575,2476,2495
3142,40026916,1424,1418
1300,35699981,606,603
3130,3820706,2222,2224
3613,33545459,1216,1231
2485,15096956,1746,1768
396,33476573,203,200
2651,6394486,1864,1885
1925,42195663,747,737
3719,47061671,1373,1376
326,35812073,139,130
3968,35233805,1455,1441
1660,5387928,1163,1204
1626,19400955,1172,1163
3855,9987646,2697,2685
277,5354533,197,194
581,4525983,394,371
2877,47853171,1442,1455
3819,21874016,2498,2479
2357,36126633,1381,1390
866,11049722,311,323
1341,39524497,868,888
1957,50877685,1117,1113
3005,45740032,1136,1132
2717,52091166,1415,1414
3495,38422992,1370,1359
2570,29509117,976,976
1367,3673615,983,976
1126,46482592,618,604
505,27606793,229,238
3811,16803979,2597,2582
1372,51951308,537,531
3209,5077712,2230,2255
917,37608281,346,348
509,35031066,378,371
1365,59237661,787,808
182,30599203,87,95
1872,43385975,967,983
573,61300516,233,228
3948,48786086,1374,1372
3032,2500077,2161,2158
1451,4634743,1036,1039
942,1329668,660,649
1065,16749790,731,772
2696,1871429,1522,1491
2172,56972382,1299,1312
1774,54787589,931,927
1997,60822091,770,764
2543,28018860,973,966
2029,49259340,1226,1249
928,23595746,645,649
3633,36529391,1443,1449
3439,47455493,1249,1276
2317,17945448,1639,1623
1722,54392483,1087,1090
1608,45551672,626,630
3506,37219551,1334,1316
2170,29776165,819,816
1978,33579754,758,767
1313,59775557,646,663
1696,41420765,1035,1050
127,55720952,59,62
478,58037566,229,231
3976,25415731,2827,2859
3689,35623835,1507,1523
924,23979647,655,658
3385,54193066,1295,1289
3134,21552603,2205,2210
2787,61519646,1081,1078
1977,39760579,763,746
2567,36879270,950,959
581,48560213,285,288
2677,16693249,1835,1851
237,53816504,100,96
3142,38352601,1210,1222
2661,16819138,1879,1916
1401,8908137,969,984
169,19104539,107,115
264,56739359,108,119
272,24543036,193,187
1801,12756747,1221,1249
3420,17210484,2392,2442
3246,55282125,1496,1497
2261,54826156,1273,1275
932,7867824,567,575
1443,40623688,562,557
1029,4004467,716,739
2643,26705128,1872,1871
3318,911017,2296,2243
3265,5613439,2303,2306
1291,24757706,917,958
1125,17923210,787,794
2574,14559593,1860,1871
1201,53310092,489,474
2564,34987886,1414,1402
1479,54458931,729,717
3094,6783243,2133,2177
3667,49048652,1357,1348
2348,10675568,1055,1055
1570,46867118,616,612
3050,17709041,1966,1975
584,11049289,217,232
2386,49407449,1417,1389
1137,293333,734,746
2242,47456362,879,889
715,40209670,326,325
2322,29511881,870,877
1681,12572445,649,640
2034,48789349,811,810
779,31864195,366,373
1549,35197034,982,1017
612,13333575,394,393
373,6148738,262,263
1355,61054480,833,829
271,34723166,143,145
1519,29635701,592,606
256,14697856,195,187
1399,54881773,810,805
717,61344491,281,284
3862,59261687,1462,1463
3881,8166339,2650,2635
1069,19441794,597,599
1383,22585058,964,954
1004,41165726,591,594
3997,59464258,1388,1380
3413,14330273,2385,2389
2923,26058364,2114,2128
536,25647314,392,387
2654,33681876,1006,1004
121,24691578,92,95
3197,59755307,1182,1179
1986,22927031,1405,1432
3475,28072501,1314,1321
893,55154678,381,375
580,22064441,400,410
1695,44399376,705,701
2201,17981493,1362,1379
2485,9804101,1796,1804
