String_Type,Window_m,Unique_Substrings_Sm,LZ77_z,Theoretical_Bound_mz,Ratio
DNA,1,3,20,20,0.15
Worst-Case,1,4,616,616,0.006493506493506494
DNA,2,5,20,40,0.125
Worst-Case,2,15,616,1232,0.012175324675324676
DNA,3,7,20,60,0.11666666666666667
Worst-Case,3,49,616,1848,0.026515151515151516
DNA,4,10,20,80,0.125
Worst-Case,4,147,616,2464,0.05965909090909091
DNA,5,14,20,100,0.14
Worst-Case,5,442,616,3080,0.1435064935064935
DNA,6,18,20,120,0.15
Worst-Case,6,1050,616,3696,0.2840909090909091
DNA,7,22,20,140,0.15714285714285714
Worst-Case,7,1574,616,4312,0.3650278293135436
DNA,8,26,20,160,0.1625
Worst-Case,8,2356,616,4928,0.4780844155844156
DNA,9,30,20,180,0.16666666666666666
Worst-Case,9,3999,616,5544,0.7213203463203464
DNA,10,34,20,200,0.17
Worst-Case,10,4000,616,6160,0.6493506493506493
DNA,11,38,20,220,0.17272727272727273
Worst-Case,11,4000,616,6776,0.5903187721369539
DNA,12,42,20,240,0.175
Worst-Case,12,4000,616,7392,0.5411255411255411
DNA,13,46,20,260,0.17692307692307693
Worst-Case,13,4000,616,8008,0.4995004995004995
DNA,14,50,20,280,0.17857142857142858
Worst-Case,14,4000,616,8624,0.46382189239332094
DNA,15,54,20,300,0.18
Worst-Case,15,4000,616,9240,0.4329004329004329
DNA,16,58,20,320,0.18125
Worst-Case,16,4000,616,9856,0.40584415584415584
DNA,17,63,20,340,0.18529411764705883
Worst-Case,17,4000,616,10472,0.3819709702062643
DNA,18,67,20,360,0.18611111111111112
Worst-Case,18,4000,616,11088,0.36075036075036077
DNA,19,71,20,380,0.1868421052631579
Worst-Case,19,4000,616,11704,0.3417634996582365
DNA,20,75,20,400,0.1875
Worst-Case,20,4000,616,12320,0.3246753246753247
DNA,21,79,20,420,0.1880952380952381
Worst-Case,21,4000,616,12936,0.30921459492888065
DNA,22,83,20,440,0.18863636363636363
Worst-Case,22,4000,616,13552,0.29515938606847697
DNA,23,87,20,460,0.1891304347826087
Worst-Case,23,4000,616,14168,0.282326369282891
DNA,24,91,20,480,0.18958333333333333
Worst-Case,24,4000,616,14784,0.27056277056277056
DNA,25,95,20,500,0.19
Worst-Case,25,4000,616,15400,0.2597402597402597
DNA,26,99,20,520,0.19038461538461537
Worst-Case,26,4000,616,16016,0.24975024975024976
DNA,27,103,20,540,0.19074074074074074
Worst-Case,27,4000,616,16632,0.2405002405002405
DNA,28,107,20,560,0.19107142857142856
Worst-Case,28,4000,616,17248,0.23191094619666047
DNA,29,111,20,580,0.19137931034482758
Worst-Case,29,4000,616,17864,0.2239140170174653
DNA,30,115,20,600,0.19166666666666668
Worst-Case,30,4000,616,18480,0.21645021645021645
DNA,31,119,20,620,0.19193548387096773
Worst-Case,31,4000,616,19096,0.20946795140343527
DNA,32,123,20,640,0.1921875
Worst-Case,32,4000,616,19712,0.20292207792207792
DNA,33,127,20,660,0.19242424242424241
Worst-Case,33,4000,616,20328,0.19677292404565133
DNA,34,131,20,680,0.19264705882352942
Worst-Case,34,4000,616,20944,0.19098548510313215
DNA,35,135,20,700,0.19285714285714287
Worst-Case,35,4000,616,21560,0.18552875695732837
DNA,36,139,20,720,0.19305555555555556
Worst-Case,36,4000,616,22176,0.18037518037518038
DNA,37,143,20,740,0.19324324324324324
Worst-Case,37,4000,616,22792,0.1755001755001755
DNA,38,147,20,760,0.19342105263157894
Worst-Case,38,4000,616,23408,0.17088174982911825
DNA,39,151,20,780,0.1935897435897436
Worst-Case,39,4000,616,24024,0.1665001665001665
DNA,40,155,20,800,0.19375
Worst-Case,40,4000,616,24640,0.16233766233766234
DNA,41,159,20,820,0.19390243902439025
Worst-Case,41,4000,616,25256,0.15837820715869497
DNA,42,163,20,840,0.19404761904761905
Worst-Case,42,4000,616,25872,0.15460729746444032
DNA,43,167,20,860,0.1941860465116279
Worst-Case,43,4000,616,26488,0.15101177891875567
DNA,44,171,20,880,0.1943181818181818
Worst-Case,44,4000,616,27104,0.14757969303423848
DNA,45,175,20,900,0.19444444444444445
Worst-Case,45,4000,616,27720,0.1443001443001443
DNA,46,179,20,920,0.19456521739130433
Worst-Case,46,4000,616,28336,0.1411631846414455
DNA,47,183,20,940,0.1946808510638298
Worst-Case,47,4000,616,28952,0.13815971262779772
DNA,48,187,20,960,0.19479166666666667
Worst-Case,48,4000,616,29568,0.13528138528138528
DNA,49,191,20,980,0.19489795918367347
Worst-Case,49,4000,616,30184,0.13252054068380598
DNA,50,195,20,1000,0.195
Worst-Case,50,4000,616,30800,0.12987012987012986
DNA,51,199,20,1020,0.19509803921568628
Worst-Case,51,4000,616,31416,0.12732365673542145
DNA,52,203,20,1040,0.1951923076923077
Worst-Case,52,4000,616,32032,0.12487512487512488
DNA,53,207,20,1060,0.19528301886792454
Worst-Case,53,4000,616,32648,0.12251899044351874
DNA,54,211,20,1080,0.19537037037037036
Worst-Case,54,4000,616,33264,0.12025012025012025
DNA,55,215,20,1100,0.19545454545454546
Worst-Case,55,4000,616,33880,0.1180637544273908
DNA,56,219,20,1120,0.19553571428571428
Worst-Case,56,4000,616,34496,0.11595547309833024
DNA,57,223,20,1140,0.1956140350877193
Worst-Case,57,4000,616,35112,0.1139211665527455
DNA,58,227,20,1160,0.1956896551724138
Worst-Case,58,4000,616,35728,0.11195700850873265
DNA,59,231,20,1180,0.19576271186440677
Worst-Case,59,4000,616,36344,0.1100594320933304
DNA,60,235,20,1200,0.19583333333333333
Worst-Case,60,4000,616,36960,0.10822510822510822
DNA,61,239,20,1220,0.1959016393442623
Worst-Case,61,4000,616,37576,0.10645092612305727
DNA,62,243,20,1240,0.19596774193548386
Worst-Case,62,4000,616,38192,0.10473397570171764
DNA,63,247,20,1260,0.19603174603174603
Worst-Case,63,4000,616,38808,0.10307153164296022
DNA,64,251,20,1280,0.19609375
Worst-Case,64,4000,616,39424,0.10146103896103896
DNA,65,255,20,1300,0.19615384615384615
Worst-Case,65,4000,616,40040,0.0999000999000999
DNA,66,259,20,1320,0.1962121212121212
Worst-Case,66,4000,616,40656,0.09838646202282567
DNA,67,263,20,1340,0.1962686567164179
Worst-Case,67,4000,616,41272,0.09691800736576855
DNA,68,267,20,1360,0.1963235294117647
Worst-Case,68,4000,616,41888,0.09549274255156608
DNA,69,271,20,1380,0.1963768115942029
Worst-Case,69,4000,616,42504,0.09410878976096368
DNA,70,275,20,1400,0.19642857142857142
Worst-Case,70,4000,616,43120,0.09276437847866419
DNA,71,279,20,1420,0.1964788732394366
Worst-Case,71,4000,616,43736,0.09145783793671118
DNA,72,283,20,1440,0.19652777777777777
Worst-Case,72,4000,616,44352,0.09018759018759019
DNA,73,287,20,1460,0.19657534246575342
Worst-Case,73,4000,616,44968,0.0889521437466643
DNA,74,291,20,1480,0.1966216216216216
Worst-Case,74,4000,616,45584,0.08775008775008775
DNA,75,295,20,1500,0.19666666666666666
Worst-Case,75,4000,616,46200,0.08658008658008658
DNA,76,299,20,1520,0.19671052631578947
Worst-Case,76,4000,616,46816,0.08544087491455912
DNA,77,303,20,1540,0.19675324675324676
Worst-Case,77,4000,616,47432,0.08433125316242199
DNA,78,307,20,1560,0.1967948717948718
Worst-Case,78,4000,616,48048,0.08325008325008325
DNA,79,311,20,1580,0.19683544303797468
Worst-Case,79,4000,616,48664,0.0821962847279303
DNA,80,315,20,1600,0.196875
Worst-Case,80,4000,616,49280,0.08116883116883117
DNA,81,319,20,1620,0.19691358024691358
Worst-Case,81,4000,616,49896,0.0801667468334135
DNA,82,323,20,1640,0.19695121951219513
Worst-Case,82,4000,616,50512,0.07918910357934748
DNA,83,327,20,1660,0.19698795180722892
Worst-Case,83,4000,616,51128,0.07823501799405413
DNA,84,331,20,1680,0.19702380952380952
Worst-Case,84,4000,616,51744,0.07730364873222016
DNA,85,335,20,1700,0.19705882352941176
Worst-Case,85,4000,616,52360,0.07639419404125286
DNA,86,339,20,1720,0.19709302325581396
Worst-Case,86,4000,616,52976,0.07550588945937783
DNA,87,343,20,1740,0.19712643678160918
Worst-Case,87,4000,616,53592,0.07463800567248843
DNA,88,347,20,1760,0.19715909090909092
Worst-Case,88,4000,616,54208,0.07378984651711924
